DEPARTMENT_NAME,TITLE,REGULAR,OTHER,OVERTIME,INJURED,DETAIL,QUINN_EDUCATION_INCENTIVE,TOTAL_GROSS
Boston Police Department,Police Officer,"91,784.20",800,"14,696.61",,"178,940.00","18,356.66","304,577.47"
Boston Police Department,Police Sergeant (Det),"127,626.76","18,621.77","131,223.88",,,"25,525.56","302,997.97"
Boston Police Department,Police Sergeant,"122,465.84","108,676.66","29,790.65",,"11,660.00","30,296.94","302,890.09"
Boston Police Department,Police Sergeant (Det),"127,627.38","16,134.18","120,444.77","3,302.74",,"32,732.73","300,241.80"
Boston Police Department,Police Sergeant (Det),"127,626.76","19,246.67","106,910.30",,"14,522.00","31,906.89","300,212.62"
Boston Police Department,Police Sergeant (Det),"134,735.09","9,646.64","43,391.45",,"79,500.00","32,513.25","299,786.43"
Boston Fire Department,District Fire Chief-Technician,"196,600.58","8,853.41","44,756.47",,"49,533.75",,"299,744.21"
Boston Police Department,Police Lieutenant (Det),"141,412.06","18,246.28","103,739.76",,,"35,353.04","298,751.14"
Boston Police Department,Police Detective,"107,352.54","5,635.71","130,908.25",,"27,968.00","26,838.11","298,702.61"
Boston Police Department,Police Sergeant (Det),"130,930.12","18,493.28","114,599.50",,"8,056.00","26,186.07","298,264.97"
Boston Fire Department,FF (Mas Of F Boat),"150,031.31","3,136.57","66,880.11",,"77,837.25",,"297,885.24"
Boston Police Department,Police Detective,"104,644.14","10,887.33","154,900.81",,"6,348.00","20,928.98","297,709.26"
Boston Fire Department,DepFireChiefAdmn-AdvTechnician,529.05,"172,765.83",,"124,100.14",,,"297,395.02"
Boston Police Department,Police Lieutenant,"130,306.08","9,134.32","85,798.17",,"37,080.00","31,991.93","294,310.50"
Boston Police Department,Police Sergeant,"115,228.60","12,479.85","145,058.43","3,114.63","18,412.00",,"294,293.51"
Boston Police Department,Supn-In Chief,"209,372.65","30,244.46",,,,"52,343.19","291,960.30"
Boston Police Department,Police Detective,"107,352.54","11,922.13","92,459.08",,"58,144.00","21,470.66","291,348.41"
Boston Police Department,Captain/Academy Instructor,"160,549.88","10,201.55","65,906.34",,"14,520.00","40,137.60","291,315.37"
Boston Police Department,Police Lieutenant (Det),"145,775.26","20,762.03","81,148.02",,"7,040.00","36,444.04","291,169.35"
Boston Police Department,Police Captain (Det),"166,111.40","24,852.33","57,654.73",,,"41,528.11","290,146.57"
Boston Fire Department,Chief of Field Services,"4,301.59","23,541.73",,"262,136.08",,,"289,979.40"
Boston Police Department,Police Lieutenant,"141,904.10",850,"83,195.03",,"31,900.00","31,736.84","289,585.97"
Boston Police Department,Police Sergeant (Det),"131,616.16","19,196.67","105,708.11",,,"31,906.89","288,427.83"
Boston Police Department,Police Captain (Det),"166,863.04","13,627.80","64,251.46",,"1,800.00","41,716.02","288,258.32"
Boston Fire Department,Dist Fire Chief,"187,276.69","8,853.41","26,717.61","8,941.22","55,741.00",,"287,529.93"
Boston Police Department,Police Captain/DDC,"164,500.82","24,511.81","55,530.90",,960,"41,125.37","286,628.90"
Boston Police Department,Police Sergeant,"132,009.41",800,"110,619.97",,"43,142.00",,"286,571.38"
Boston Police Department,Police Sergeant (Det),"132,230.12","5,568.21","74,621.54",,"47,594.00","26,186.07","286,199.94"
Boston Fire Department,Chief of Support Services,"262,641.69","23,541.73",,,,,"286,183.42"
Boston Police Department,Police Captain/DDC,"164,500.82","24,561.81","55,391.45",,480,"41,125.37","286,059.45"
Boston Police Department,Police Captain/DDC,"160,011.86","17,101.87","70,950.92",,"5,200.00","32,002.50","285,267.15"
Boston Police Department,Police Officer,"96,025.58",850,"57,687.82",,"106,582.00","24,006.55","285,151.95"
Boston Police Department,Police Detective,"107,352.54","6,846.28","129,342.80",,"13,984.00","26,838.11","284,363.73"
Boston Police Department,Police Lieutenant,"143,390.33","20,788.61","79,200.17",,"5,445.00","34,580.94","283,405.05"
Boston Police Department,Police Sergeant,"127,380.18","8,618.52","51,076.19",,"65,687.00","30,491.45","283,253.34"
Boston Fire Department,District Fire Chief-Technician,"192,935.96","3,969.05","37,716.13","3,520.17","44,972.00",,"283,113.31"
Boston Police Department,Police Lieutenant (Det),"145,775.26","21,912.67","78,206.93",,220,"36,444.04","282,558.90"
Boston Police Department,Police Sergeant (Det),"127,626.76","19,246.67","103,528.54",,,"31,906.89","282,308.86"
Boston Police Department,Police Captain/DDC,"164,187.55","24,500.72","52,426.10",,,"41,046.95","282,161.32"
Boston Police Department,Police Officer Hdq Dispatch,"103,183.38","11,954.97","117,471.38",,"38,916.00","10,318.55","281,844.28"
Boston Police Department,Supn Bpd,"200,140.70","31,592.97",,,,"50,035.15","281,768.82"
Boston Police Department,Police Sergeant (Det),"127,626.76","19,246.67","108,535.70",,,"25,525.56","280,934.69"
Boston Police Department,Supn Bpd,"138,255.88","108,451.15",,,,"34,203.34","280,910.37"
Boston Police Department,Police Lieutenant,"144,406.11","6,578.47","92,810.59",,"1,540.00","35,548.86","280,884.03"
Boston Police Department,Police Sergeant (Det),"130,930.12","9,646.64","36,969.30",,"70,596.00","32,732.73","280,874.79"
Boston Police Department,Police Sergeant (Det),"127,626.76","16,372.19","95,708.80",,"8,480.00","31,906.89","280,094.64"
Boston Police Department,Police Sergeant (Det),"130,930.12","13,825.07","62,981.49",,"39,432.00","32,732.73","279,901.41"
Boston Police Department,Police Sergeant (Det),"130,930.12","11,465.97","111,282.71",,,"26,186.07","279,864.87"
Boston Police Department,Police Sergeant (Det),"126,140.84","3,099.58","118,803.73",,,"31,535.40","279,579.55"
Boston Police Department,Supn Bpd,"173,094.66","29,092.97",,"27,046.04",,"50,035.15","279,268.82"
Boston Police Department,Supn Bpd,"200,140.70","29,042.97",,,,"50,035.15","279,218.82"
Boston Police Department,Police Lieutenant,"135,067.53","12,944.92","43,791.59","6,903.44","44,935.00","35,476.12","279,118.60"
Boston Fire Department,District Fire Chief Tech-ADR,"23,495.43","142,645.01","2,011.53","110,828.13",,,"278,980.10"
Boston Police Department,Supn Bpd,"119,756.69","29,042.97",,"80,089.94",,"49,961.65","278,851.25"
Boston Police Department,Police Lieutenant (Det),"145,775.26","18,579.44","78,027.15",,,"36,444.04","278,825.89"
Boston Fire Department,Dep Fire Chief Administration,"236,920.64","13,764.76","16,898.58",,"10,973.00",,"278,556.98"
Boston Fire Department,Fire Fighter,"126,972.94",550,"47,729.04",,"103,194.00",,"278,445.98"
Boston Fire Department,Dep Fire Chief,"216,025.98","9,910.46","42,016.30",,"9,964.00",,"277,916.74"
Boston Fire Department,District Fire Chief-Technician,"196,866.17","3,912.00","41,421.56",,"35,563.50",,"277,763.23"
Boston Police Department,Supn Bpd,"86,367.04","29,042.97",,"112,578.06",,"49,736.27","277,724.34"
Boston Police Department,Police Sergeant (Det),"125,980.49","5,294.97","79,998.16",,"35,033.00","31,378.20","277,684.82"
Boston Police Department,Police Captain/DDC,"163,759.83","21,547.84","51,128.50",,,"40,940.13","277,376.30"
Boston Police Department,Captain/Supv of Court Cases,"152,437.86","12,669.63","60,146.19",,"13,860.00","38,109.57","277,223.25"
Boston Police Department,Police Sergeant,"130,753.92","11,969.32","93,684.12",,"15,953.00","24,786.08","277,146.44"
Boston Police Department,Police Captain/DDC,"164,500.82","18,633.86","52,671.49",,,"41,125.37","276,931.54"
Boston Fire Department,Dep Fire Chief,"220,452.08","9,891.86","46,527.17",,,,"276,871.11"
Boston Police Department,Police Officer,"109,502.02",800,"61,868.74",,"104,512.00",,"276,682.76"
Boston Police Department,Police Sergeant,"120,355.73","16,733.26","58,988.34","4,090.98","52,417.00","23,899.99","276,485.30"
Boston Police Department,Police Lieutenant (Det),"145,775.26","21,812.67","72,076.73",,,"36,444.04","276,108.70"
Boston Fire Department,District Fire Chief-Technician,"197,011.19","5,434.36","73,576.20",,,,"276,021.75"
Boston Police Department,Police Lieutenant/Hdq Dispatch,"136,333.61",800,"102,190.47","7,790.49",,"28,825.00","275,939.57"
Boston Police Department,Police Sergeant (Det),"132,727.96","18,872.19","91,842.95",,,"31,906.89","275,349.99"
Boston Police Department,Police Sergeant (Det),"136,699.24","3,928.82","134,629.93",,,,"275,257.99"
Boston Police Department,Police Captain (Det),"166,863.04","17,335.98","48,811.99",,,"41,716.02","274,727.03"
Boston Police Department,Police Captain/DDC,"64,668.28","39,407.64","37,988.05","99,217.08",,"32,777.14","274,058.19"
Boston Police Department,Police Sergeant (Det),"124,338.57","40,217.00","60,870.70",,"17,437.00","30,900.94","273,764.21"
Boston Police Department,Police Officer,"99,815.69",850,"95,522.94",,"55,200.00","22,334.18","273,722.81"
Boston Police Department,Police Sergeant,"127,660.28",800,"76,703.48",,"43,566.00","24,780.68","273,510.44"
Boston Police Department,Police Sergeant,"127,237.21","5,317.73","56,348.44",,"59,837.00","24,765.70","273,506.08"
Boston Police Department,Police Officer,"108,365.90","23,665.37","8,401.93",,"108,054.00","24,741.38","273,228.58"
Boston Police Department,Police Sergeant/CHF RADIO DISP,"128,539.75",800,"98,927.28",,"13,144.00","31,549.99","272,961.02"
Boston Fire Department,Dist Fire Chief,"193,147.03","6,786.60","33,357.46",,"39,554.38",,"272,845.47"
Boston Police Department,Police Lieutenant,"131,847.22","3,516.13","48,874.19",,"56,032.00","31,545.09","271,814.63"
Boston Fire Department,Fire Fighter,"128,318.80","2,717.86","56,532.83",,"84,163.25",,"271,732.74"
Boston Police Department,Police Sergeant (Det),"130,930.12","13,775.07","89,249.22",,"11,024.00","26,186.07","271,164.48"
Boston Police Department,Police Officer,"108,038.52","10,583.21","145,511.30",,"6,256.00",,"270,389.03"
Inspectional Services Dept,Wire Inspector,"93,173.72","5,230.96","171,119.26",,,,"269,523.94"
Boston Police Department,Police Lieutenant/Hdq Dispatch,"138,883.36",800,"89,471.94","5,069.66",,"35,170.93","269,395.89"
Boston Police Department,Supn Bpd,"200,140.70","29,092.97",,,,"40,028.17","269,261.84"
Boston Fire Department,Fire Captain Administration,517.44,"133,963.79",,"134,729.12",,,"269,210.35"
Boston Fire Department,Dep Fire Chief,"202,832.82","15,691.92","28,804.24","20,905.51",564,,"268,798.49"
Boston Fire Department,Dist Fire Chief,"193,763.06","8,705.55","65,850.05",,,,"268,318.66"
Boston Police Department,Police Lieut/Acad Instr,"141,996.14","20,194.88","64,379.27",,"7,040.00","34,699.27","268,309.56"
Boston Fire Department,District Fire Chief-Technician,"148,665.86","8,777.37","28,391.54","55,366.75","27,024.00",,"268,225.52"
Boston Fire Department,District Fire Chief-Technician,"171,155.11","3,969.05","33,876.93","20,566.73","38,656.50",,"268,224.32"
Boston Police Department,Police Captain/DDC,"164,500.82","20,806.84","41,687.45",,,"41,125.37","268,120.48"
Boston Police Department,Supn Bpd,"197,008.07","21,780.41",,,,"49,252.02","268,040.50"
Boston Police Department,Police Officer,"108,614.16","10,665.06","145,803.36",394.61,"2,392.00",,"267,869.19"
Boston Fire Department,Dep Fire Chief,"229,595.28","4,400.48","33,518.02",,,,"267,513.78"
Boston Police Department,Police Detective,"103,231.12","134,678.47","6,787.74","1,450.71",276,"20,936.53","267,360.57"
Boston Fire Department,Fire Captain Administration,"181,440.97","7,705.88","78,126.79",,,,"267,273.64"
Boston Police Department,Police Captain/DDC,"150,874.52","3,342.33","70,835.07",,"4,180.00","37,718.52","266,950.44"
Boston Fire Department,Dist Fire Chief,"194,604.03","3,915.83","34,607.54",,"33,253.00",,"266,380.40"
Boston Police Department,Police Lieutenant,"141,251.52",850,"94,607.12",,990,"28,250.20","265,948.84"
Boston Police Department,Police Sergeant (Det),"129,394.25","14,597.50","89,248.36",,689,"31,906.89","265,836.00"
Boston Police Department,Police Sergeant/Hdq Dispatcher,"125,490.84","6,484.66","84,722.24","1,478.02","15,953.00","31,407.88","265,536.64"
Boston Fire Department,Dep Fire Chief Administration,"235,538.56","6,039.72","23,021.90",,,,"264,600.18"
Boston Police Department,Police Sergeant (Det),"129,471.88","19,672.83","82,976.07",,,"32,368.17","264,488.95"
Boston Police Department,Police Sergeant (Det),"120,391.35","6,571.77","106,555.29",,901,"29,880.66","264,300.07"
Boston Fire Department,Fire Lieutenant,"150,616.27","6,831.67","20,541.68",725.67,"85,425.38",,"264,140.67"
Boston Fire Department,DepFireChiefAdmn-AdvTechnician,"241,063.97","15,970.70","6,954.74",,,,"263,989.41"
Boston Fire Department,Dep Fire Chief Administration,"236,550.30","12,410.46","14,207.87",,,,"263,168.63"
Boston Police Department,Police Captain,"158,519.32","12,378.67","45,733.09",,"6,840.00","39,629.75","263,100.83"
Boston Police Department,Police Sergeant (Det),"130,949.08","7,758.27","87,698.59",,"10,759.00","25,849.87","263,014.81"
Boston Fire Department,Dep Fire Chief,"140,487.13","121,761.39",,,,,"262,248.52"
Boston Police Department,Police Lieut (Det),"149,157.68","19,662.02","58,009.02",,"5,500.00","29,831.39","262,160.11"
Boston Fire Department,Fire Fighter,"127,454.48",550,"51,104.49",,"82,929.75",,"262,038.72"
Boston Police Department,Police Lieutenant,"139,673.93",850,"73,880.14",,"12,540.00","34,803.34","261,747.41"
Boston Fire Department,Dep Fire Chief,"220,951.61","13,413.54","27,299.52",,,,"261,664.67"
Boston Fire Department,Dep Fire Chief Administration,"207,396.48","15,691.92","6,839.89","29,709.33","1,751.00",,"261,388.62"
Boston Fire Department,Fire Fighter-Technician,"129,737.75","1,184.59","81,828.76",,"48,588.01",,"261,339.11"
Boston Police Department,Police Lieutenant (Det),"88,778.44","21,812.67","56,054.52","56,996.82",880,"36,444.04","260,966.49"
Boston Police Department,Police Lieutenant (Det),"145,775.26","21,812.67","50,639.11",,"5,335.00","36,444.04","260,006.08"
Boston Police Department,Police Sergeant,"128,020.60",850,"88,516.99","9,312.07","33,284.00",,"259,983.66"
Boston Police Department,Police Lieutenant,"85,599.41","17,748.06","39,835.62","52,196.28","29,961.00","34,449.08","259,789.45"
Boston Fire Department,Fire Captain Admin-ADR,825.39,"112,954.40",,"145,963.00",,,"259,742.79"
Boston Police Department,Police Sergeant/Bomb Squad,"126,199.30","10,463.92","52,359.39",,"39,167.00","31,549.99","259,739.60"
Boston Fire Department,Commissioner (BFD),"249,999.88","9,615.38",,,,,"259,615.26"
Boston Police Department,Police Detective,"103,233.92",800,"125,090.34",,"9,016.00","20,646.65","258,786.91"
Boston Police Department,Police Officer,"107,875.69","3,914.63","69,625.35",,"77,326.00",,"258,741.67"
Boston Fire Department,Fire Lieutenant Administration,"169,708.69",550,"89,047.70",-737.2,,,"258,569.19"
Boston Fire Department,District Fire Chief Admin,"115,374.88","140,265.34","2,459.31",,440,,"258,539.53"
Boston Fire Department,Fire Captain Admn-Advance Tech,"154,959.68","13,913.21","52,599.93","36,834.28",,,"258,307.10"
Boston Police Department,Police Sergeant (Det),"130,930.12",850,"82,867.22",,"10,812.00","32,732.73","258,192.07"
Boston Fire Department,Fire Captain,"175,796.17","3,492.71","25,220.31",,"53,412.25",,"257,921.44"
Boston Police Department,Police Sergeant,"103,782.14","11,495.40","31,058.72",,"85,703.00","25,862.05","257,901.31"
Boston Fire Department,Dep Fire Chief Administration,"225,449.36","6,056.15","15,289.20","10,730.60",,,"257,525.31"
Boston Police Department,Supn Bpd,"124,291.52","99,956.00",,,,"32,906.00","257,153.52"
Boston Fire Department,Dep Fire Chief,"42,008.02","12,688.54","22,979.16","178,943.59",,,"256,619.31"
Boston Police Department,Police Sergeant (Det),"130,930.12","13,235.30","78,555.18",,"1,060.00","32,732.73","256,513.33"
Boston Fire Department,District Fire Chief-Adv Tech,"194,163.76","7,827.18","26,585.86",,"27,748.50",,"256,325.30"
Boston Police Department,Police Lieutenant,"76,577.74","16,259.24","50,318.61","65,617.73","11,385.00","35,548.85","255,707.17"
Boston Police Department,Police Sergeant (Det),"130,334.92","19,672.83","73,045.42",,,"32,583.93","255,637.10"
Boston Fire Department,Fire Fighter,"131,780.32","6,647.86","49,484.86",,"67,155.00",,"255,068.04"
Boston Police Department,Police Sergeant,"127,961.73",800,"55,518.00",,"39,803.00","30,836.97","254,919.70"
Boston Police Department,Police Lieutenant (Det),"148,443.08","6,972.47","58,132.59",,"4,620.00","36,444.04","254,612.18"
Boston Fire Department,Fire Fighter-Technician,"130,963.09",550,"90,564.82",,"32,434.25",,"254,512.16"
Boston Police Department,Police Sergeant (Det),"127,626.76","13,497.71","31,450.10",,"56,392.00","25,525.56","254,492.13"
Boston Police Department,Police Officer Hdq Dispatch,"110,397.34","10,745.71","133,325.03",,,,"254,468.08"
Boston Police Department,Police Officer,"91,898.86",850,"42,746.38",,"110,032.00","8,705.21","254,232.45"
Boston Police Department,Police Sergeant (Det),"127,626.76","15,222.40","79,464.06",,,"31,906.89","254,220.11"
Boston Police Department,Police Detective,"113,716.76","17,191.63","123,256.43",,,,"254,164.82"
Boston Fire Department,Dep Fire Chief Administration,"226,855.28","8,718.68","17,374.12","1,008.76",,,"253,956.84"
Boston Police Department,Police Sergeant,"124,413.54",850,"41,913.62",,"56,465.00","30,310.56","253,952.72"
Boston Police Department,Police Officer,"100,963.38",800,"85,363.48",,"41,584.00","25,240.88","253,951.74"
Boston Police Department,Supn Bpd,"202,304.38","12,815.34",,"-2,163.68",,"40,028.17","252,984.21"
Boston Fire Department,Fire Fighter,"129,281.15","1,364.44","73,087.48",,"49,241.00",,"252,974.07"
Boston Police Department,Police Officer,"100,416.33",800,"22,460.73",,"109,158.00","20,083.09","252,918.15"
Boston Fire Department,Dist Fire Chief-Adm Asst Dvmtr,"201,276.94","13,773.49","28,213.02","9,513.36",,,"252,776.81"
Boston Police Department,Police Sergeant,"130,447.10",800,"78,040.86",,"12,137.00","31,279.12","252,704.08"
Boston Police Department,Police Sergeant (Det),"127,626.76","19,196.67","73,727.98",,,"31,906.89","252,458.30"
Boston Police Department,Police Lieutenant,"138,398.93","15,870.50","62,224.66","1,001.36",,"34,735.16","252,230.61"
Boston Fire Department,Dep Fire Chief,-507.84,"153,182.57",,"99,176.72",,,"251,851.45"
Boston Fire Department,Dist Fire Chief,"192,932.79","6,779.47","51,893.48",,,,"251,605.74"
Boston Police Department,Dep Supn (Bpd),"179,727.54","26,468.34",,,,"44,931.89","251,127.77"
Boston Police Department,Police Sergeant (Det),"130,340.34",850,"27,960.14",,"65,720.00","26,068.11","250,938.59"
Boston Fire Department,District Fire Chief Admin,"211,410.60","11,849.56","24,980.31",,"2,578.50",,"250,818.97"
Boston Fire Department,Dist Fire Chief,"185,394.99","8,724.15","36,010.79","3,383.57","17,168.00",,"250,681.50"
Boston Fire Department,Fire Captain,"159,752.25","6,864.01","50,123.09","11,900.38","21,950.00",,"250,589.73"
Boston Police Department,Police Detective,"106,134.08","11,221.78","110,560.23",,"22,632.00",,"250,548.09"
Boston Fire Department,Sr Fire Alarm Operator,"151,262.10",550,"98,591.83",,,,"250,403.93"
Boston Police Department,Dep Supn (Bpd),"179,169.54","26,397.95",,,,"44,792.42","250,359.91"
Boston Police Department,Police Sergeant,"125,258.13",850,"50,739.81",,"41,075.00","30,938.63","248,861.57"
Boston Fire Department,District Fire Chief-Adv Tech,"197,741.80","14,051.68","36,895.36",,,,"248,688.84"
Boston Police Department,Police Detective,"107,352.54","8,053.56","34,576.54",,"77,142.00","21,470.66","248,595.30"
Boston Fire Department,Asst Supn (Bfd/Fad),"138,532.56","105,376.50","3,710.48",935.04,,,"248,554.58"
Boston Fire Department,Frprs Electrical Equip Rprprs,"164,897.75",550,"82,989.63",,,,"248,437.38"
Boston Fire Department,Fire Captain,"162,855.34","3,492.71","26,307.39","12,175.32","43,415.25",,"248,246.01"
Boston Police Department,Supn Bpd,"182,486.08","20,041.67",,,,"45,621.53","248,149.28"
Boston Police Department,Dep Supn (Bpd),"179,727.54","23,280.00",,,,"44,931.89","247,939.43"
Boston Police Department,Police Officer,"93,905.48",800,"43,326.34",,"91,080.00","18,781.20","247,893.02"
Boston Police Department,Police Sergeant,"126,568.99","3,990.02","75,990.40",,"10,176.00","31,119.96","247,845.37"
Boston Police Department,Dep Supn (Bpd),"173,083.19","27,306.60","3,754.48",,,"43,270.84","247,415.11"
Boston Police Department,Police Officer,"98,965.90","63,019.36",597.89,,"64,998.00","19,793.00","247,374.15"
Boston Police Department,Police Sergeant,"122,909.72","5,156.29","79,397.39",,"9,964.00","29,875.06","247,302.46"
Boston Police Department,Dep Supn (Bpd),"179,727.54","22,420.42",,,,"44,931.89","247,079.85"
Boston Fire Department,Fire Fighter,"129,119.75","3,539.97","53,932.21","1,438.88","58,783.25",,"246,814.06"
Boston Police Department,Police Officer,"91,784.20",800,"73,694.69",,"61,870.00","18,356.66","246,505.55"
Boston Police Department,Police Lieutenant (Det),"145,775.26","21,812.67","42,434.89",,,"36,444.04","246,466.86"
Boston Police Department,Police Sergeant,"119,610.44","18,220.03","81,003.16","3,675.13",,"23,923.82","246,432.58"
Boston Police Department,Police Lieutenant (Det),"145,775.26","21,812.67","42,365.35",,,"36,444.04","246,397.32"
Boston Police Department,Police Sergeant (Det),"130,340.34","11,465.97","59,022.87",,"19,398.00","26,068.11","246,295.29"
Boston Police Department,Police Sergeant,"123,347.64","10,295.56","87,658.86",,,"24,669.68","245,971.74"
Boston Fire Department,Dep Fire Chief,"190,071.41",550,"22,302.81","28,396.41","4,608.00",,"245,928.63"
Boston Police Department,Police Lieutenant,"131,610.15",800,"79,907.57",,"7,179.00","26,322.09","245,818.81"
Boston Police Department,Police Sergeant (Det),"127,626.76","13,102.77","66,315.86",,"6,572.00","31,906.89","245,524.28"
Boston Police Department,Police Officer,"100,267.34",800,"8,718.97",,"125,534.00","10,026.69","245,347.00"
Boston Police Department,Police Sergeant,"135,624.85",850,"65,510.45",,"43,142.00",,"245,127.30"
Boston Police Department,Police Lieutenant (Det),"139,788.58",800,"63,679.12",,"5,720.00","34,947.16","244,934.86"
Boston Fire Department,Fire Captain Administration,"181,283.40","4,956.51","48,730.40",,"9,953.50",,"244,923.81"
Boston Police Department,Police Sergeant (Det),"136,699.24","17,721.92","78,795.81",,"11,448.00",,"244,664.97"
Boston Police Department,Police Sergeant (Det),"129,806.03","5,518.21","80,293.45",,"2,968.00","25,961.26","244,546.95"
Boston Fire Department,Dep Fire Chief Administration,"176,537.17","4,404.31","4,023.48","59,478.19",,,"244,443.15"
Boston Fire Department,District Fire Chief-Technician,"194,572.89","8,777.37","40,884.80",,,,"244,235.06"
Boston Fire Department,District Fire Chief-Technician,"182,444.25",550,"44,127.84","17,042.65",,,"244,164.74"
Boston Police Department,Police Detective,"111,030.09","6,020.33","77,848.27","4,302.80","44,942.00",,"244,143.49"
Boston Police Department,Police Detective,"107,352.54","5,152.13","67,705.63",,"36,800.00","26,838.11","243,848.41"
Boston Police Department,Police Lieutenant,"139,345.47","7,058.54","61,551.80",,990,"34,698.35","243,644.16"
Boston Police Department,Police Sergeant/CHF RADIO DISP,"123,348.41","2,505.40","88,049.23","4,320.35",,"25,239.83","243,463.22"
Boston Fire Department,District Fire Chief-Adv Tech,"197,741.80","14,051.68","31,588.54",,,,"243,382.02"
Boston Police Department,Police Sergeant,"129,923.28","13,675.30","99,518.68",,,,"243,117.26"
Boston Police Department,Police Sergeant (Det),"127,626.76","28,370.69","33,763.26",,"27,772.00","25,525.56","243,058.27"
Boston Police Department,Police Detective,"115,891.18","7,586.43","60,040.30",,"59,248.00",,"242,765.91"
Boston Police Department,Police Lieutenant,"140,689.83","13,116.74","50,797.66",,"3,355.00","34,735.16","242,694.39"
Boston Police Department,Police Officer,"93,309.70",800,"29,842.06","1,730.44","112,056.00","4,441.32","242,179.52"
Boston Police Department,Dep Supn (Bpd),"179,079.87","26,468.34",,647.67,,"35,945.46","242,141.34"
Boston Fire Department,Fire Lieutenant Administration,"141,394.71","5,833.42","59,773.00",,"35,028.00",,"242,029.13"
