ratings,dates,review_text
5,2021-11-29,"This scent is one of the best of the yankee line.. has a smell of comfort, home and sweetness. I don’t like food scents. This is a perfect combination of dried lavender with a hint of oak. Favorite!!!"
5,2018-04-06,"Unlit, this candle smells like salted caramel. Lit, it smells like someone cooking hot pancakes with syrup. I can’t explain it — but my whole family loooooves the smell! Will buy again."
5,2021-07-21,Do you want your house to smell like creme Brule?? This would be the perfect candle for you then! This candle (in my opinion) puts any vanilla scented candle to shame and those use to be my favorite ones to light!
1,2017-11-26,Buyer beware!!!! Bad bad product!!!! No scent....none not even a whiff...second time this has occurred. Obviously Yankee Candle has instituted a cost reduction by not including the scents in this candle.And since I used part of it Amazon has no means for getting a refund!!!!!
5,2021-01-22,"I hate it but I have to give it 5 stars because my mom likes it and it does what it promises. My entire house smells like the inside of a box of Red Hots candies. Other people complain about there being no scent, so maybe there is some sort of issue with consistency in these candles, but let me tell you, the one I have has my house absolutely reeking of spicy cinnamon. I dont really like the smell but the price was so cheap that I gave it a shot thinking 'it's probably not that strong of a smell'. Man was I wrong. So if you like the smell of Red Hots, give this a try, hopefully you dont get a dud like other people are complaining about."
1,2017-11-10,"I wanted to love this candle, I really did especially since vanilla cupcake is my favorite scent. But this candle literally has no scent even when I sniff it right out of the jar I barely smell it. I can burn all day and it won't even smell in my bedroom. I wanted to love it especially since it's a large candle, but I'll stick to my Bath and Body Works candles."
5,2021-03-22,"It's worth the effort to always see what Amazon Warehouse has in stock before you buy your item. I've gotten in the habit of doing this when I'm looking for a Yankee Candle. I found a Spiced Pumpkin large jar candle just a couple of days ago that was reduced to $13.39. So I decided to give it a shot. All of my past experiences have been good and this one was no exception! It arrived 1 full day early & it was very carefully packed. Upon opening, the jar was in excellent condition. Everything about the candle is authentic Yankee quality. However, when I removed the glass lid I saw that the wick was slightly singed, yet none of the wax surrounding it had been melted. Sort of like it had been lit and immediately blown out. It wasn't intended to be a gift; but if it was it wasn't giftable, so I rated it only 1 star for that category. I lit my candle and in a few seconds, no one was the wiser, lol... This candle currently costs $24.97 brand new on Amazon. I can live with the savings of $11.58, though. It pays to check the Amazon Warehouse from time to time!"
5,2022-08-11,"I READ SOMEWHERE THAT FLYS HATE THE SMELL OF CINNAMON SO I THOUGHT I WOULD GIVE THESE A TRY.  IT TAKES AWHILE FOR THE AROMA TO PERMEATE THE AIR SINCE I AM USING THEM OUTSIDE, BUT ONCE THE SCENT, WHICH IS NICE AND NOT TOO OVERPOWERING, GETS INTO THE SPACE IT DOES SEEM TO MOSTLY KEEP THE FLYS, FLEAS AND MISQUITOS AWAY. WE HAVE ONE BY OUR STOCKTANK POOL AND WE SIT IT CLOSEBY ON THE SURROUNDING DECK AND IT HAS CUT THE NUMBER OF LITTLE BUGS THAT GET INTO THE WATER SIGNIFICANTLY! OUTSIDE ON THE DECK I USE A COUPLE CANDLES NEAR WHERE WE EAT AND IT DEFINITELY HAS HELPED."
5,2021-02-27,"I was expecting a ""slightly damaged"" product, as that's how this Yankee Candle was listed when I purchased it. It was a French Vanilla large jar candle, reduced in price from Amazon Warehouse. I figured that for the discounted price, I could deal with that. My candle arrived today, a couple of days early, which was nice. When I opened the box and inspected the contents, it was in pristine condition! The box and the protective enclosure inside was a little damaged, but that was it. So, I'm a happy camper with this purchase! I've purchased a couple of things through the warehouse and have never been disappointed, so I make it a habit to always check the warehouse before I make my purchase. Who doesn't like to save a few dollars ever now and then? As always, my Yankee Candle is highly fragranced, and I know I'm going to get good, quality burn time as well. 5 stars from me!"
5,2021-08-18,"Great scent if you love birthday cake. Unfortunately everyone goes nose blind to scents after a while of being in the vicinity of a scent and after those few first glorious minutes of being in a room with this candle lit, you won't even notice the smell.That is ... until you walk out the room to so something (whether to go to the kitchen, bathroom, etc) and return to the room. Then the soothing smell of fresh birthday cake returns for a few minutes.Nose blindness is no fault of the candle. Just our stupid noses 😠Anyways I used this candle beyond what was recommended and had no issues. Do so at your own risk but I did use the candle until all the wax was nearly completely burned out. I've lit, put out, and relit this candle multiple times with no issue.So long as the bottom of the glass isn't getting hot there shouldn't be a risk of the candle and glass exploding. But then again, what do I know? Do so at your own risk but I just could not allow myself to stop using this candle once the wax reached below half. It smelled too good to waste.Also this candle is very aesthetically pleasing in a room. It blends in and the fire burning inside the glass jar just looks elegant.I recommend this candle wholeheartedly and will likely try a new scent from this company too."
5,2020-09-30,"This Yankee Candle smells amazing! It smells like a variety of warm spices and it has a hint of sweetness to it. It's not your typical fall scent so it can be used all year long, but it still puts me in the holiday spirit. I noticed it filled my entire bedroom with fragrance within only 20 minutes, which isn't typical for Yankee Candle nowadays. A lot of Yankee Candles are hit and miss in recent years with issues such as tunneling and no throw, but this candle was a hit! It's melting to the edges and smells lovely. This candle might have put my faith back in the brand."
5,2020-08-13,"I like to burn candles in my apartment because I find that freshening sprays don't always last as long as I would like, and incense is just too strong and invasive for me to want to use it consistently. Yankee's salted caramel scent is probably my favorite one so far.It is extremely sweet-smelling as you would expect, but it is not sickeningly sweet like I was worried it would be. It almost reminds me of bread baking or fresh cookies. It is a very warm and soothing smell that I would not necessarily describe as subtle because it will definitely fill up a room, but it is not overpowering and becomes part of the scenery.I got the Bahama Breeze scent along with this, and while I like that one, the scent is not nearly as strong as this one and is much less noticeable. I would be cautious of giving this as a gift to someone because I could see some thinking it is overly sweet. I don't think it is, but I like sweet scents so I may have a higher tolerance than some people. On the same token, I definitely recommend trying this for yourself, it's definitely a treat and will make you feel cozy the whole time it's burning."
1,2018-11-27,"I read reviews of this and another version where apparently neither candle has much if any scent at all. So I ordered both versions to test them before sending them as gifts to others and it's true, essentially no scent. You might as well just buy a red candle, or alternatively pay more for one that is worth it."
5,2019-08-09,"With the closure of the Yankee Candle stores, I've struggled to find new Yankee Candle scents I like...it's hard to ""guess"" what something will smell like.  I found this candle at TJ Maxx (or something like that) and loved it, but, of course, when I went back to find more, they didn't have any.  This is why I love Amazon...if you know what you want, you can bet someone is selling it!!  Anyway, I love this warm scent...not too overpowering, but definitely a spicy vanilla smell...like you baked something fabulous!"
1,2017-12-28,i bought 3 of these for a christmas present for my girlfriend. there is NO smell at all when burning them.this is her favorite candle so we know the difference.there is a 2 month wait for a replacement which i find unacceptable .  i'm not sure if these are defective or a fake item.very disappointed.
5,2021-10-22,"I was never really a ""candle person"" until my next door neighbor's cigarette smoke started to waif over to our side of our townhouse.  Enter Yankee Candle... One of my favorite flavors and aromas is vanilla, so of course I ordered two Vanilla Cupcake candles to not only enjoy but to try and combat the lovely flavor with the pungent odor of cigarette smoke.  It worked so I keep them burning all day, up until I go to bed for the night.  Yankee Candle is one of a kind and burns just right.  Don't get fooled with imposter candles, which I won't mention their names out here.... Just stay with Yankee and you won't go wrong!!"
5,2021-03-04,"I love Yankee candles and the next order I made for village candles was a huge mistake! The pics looked so much like Yankee that I accidentally ordered 4 of the ""look a likes "" just received them yesterday and what a let down.  Nothing like Yankee and I've tried to burn 2 of the 4 I ordered and absolutely no scent at all!  I was misled by the fact that I thought it was Yankee, but they are not worth ever spending money on if you're hoping for some scent.  Just wicks burning without any scent.  I will be more careful in the future and I only made the mistake since I noticed that the bottle looked exactly like Yankee.  Too bad I ordered 4 of them! I wouldn't even ever give as a gift since they are junk.Sorry to be so honest and blunt.  I'll most likely go to the local Yankee shop at the mall for future candles since I use them quite a bit"
5,2022-02-02,"First of all, I shouldn’t have even bought this candle because I’m on a diet. Lol idk what I was thinking but just to tell you how good this candle smells my husband thought I baked a cake when he walked in from work and was extremely disappointed to find out it was this candle. This scent is strong, and it last even after burning it. I’m trying to find more to buy because wow! I’m a candle-holic because I burn through candles soooo fast. But I feel like it’s actually going to take me a while to get through this. Worth the money For sure!"
5,2020-10-27,"I don’t always write a review for my orders, but after reading the reviews from previous purchasers I felt I should. My candle arrived today and it’s amazing!!! I am so pleased! With Covid, going to Yankee Candle just isn’t going to happen. Took a chance and I am so happy I did! It’s just what my home needs this fall. If I am going to continue to be stuck at home, damn sure it is going to need to smell good!! I have a husband and animals, they don’t smell good. My candle is my Covid hero!"
5,2021-03-01,"I don’t like food smell. I have an open concept kitchen and living room. So when I cook something smelly like roasted garlic or fried fish, the smell gets all over the place. This candle is magic! I light it up and in five minutes my kitchen smells amazing. Even my husband noticed the smell and enjoyed it. I definitely recommend it."
5,2021-08-03,"I love Yankee candles. The second most bought candle I ever buy. Only because they are expensive, but they are so worth it. They really last a long time and will permeate the room if you burn them long enough. I accidentally left a pumpkin one burning for two days in the back of our house. That room smelled lovely for weeks and weeks.If you get yours and the packaging has residue all over it, just wash the candle and lid off and it's fine. I don't know how it happened, but I don't mind.I really only was concerned about the cats so I put the box away from them."
5,2021-02-27,The scent from this candle is unbelievably warm and long lasting. The fragrance smells like the real thing not chemically made.The jar and lid are heavy duty even surviving a fall from a desk.  The wick is thick and lights up immediately and does not turn off unless I turn it off.The fragrance extends outside my home but is not over bearing or “fake” smelling.It’s been used for over 20 hours and it is 2/3 finished. Will buy again.
5,2016-12-27,"I love this smell... Smells just like creamy strawberry ice cream. Even just taking the lid off the jar makes me happy. Might be my favorite scent ever. I do like sweet smells (not everyone does). My favorites tend to be cupcake scents, flavors with the word icing in the title, vanillas ... Some people don't like sweet scents. If you do tend to like the sweet ones though definitely check this one out! It's different but amazing <3!"
5,2021-08-17,"Perfect for those that have a sweet tooth but appreciate less calories. This candle last a long time and it smells heavenly. Your home will smell like you’ve baked and you can skip the calories. Hey, you never know…you might be dessert.😉"
5,2021-08-09,"Yankee Candle has got it right! Triple boxed to protect their product and your purchase. These are great candles and I have buying them for years. They last a long time (of course depending on how long you burn them). I highly recommend Yankee Candle!Of course for the ladies: nice mellow fragrance, suttle glow for those romantic evenings. You'll look beautiful bathed in its flickering light.Gents: if you don't have one of these for those romantic evenings you came unprepared."
5,2020-11-28,"Due to COVID restrictions, I was unable to obtain a yahrtzeit candle on time for the anniversary of my mothers death. This seemed like a hefty candle and was deliverable in-time, so I went for it with the hopes that it would be large enough to burn in her memory for the length of the day.I was quite overjoyed when the candle burned for three days straight, and it smelled wonderful too. It may not have been a yahrtzeit, but I felt at peace nonetheless."
5,2020-08-14,This is one of my favorite selling candles from Yankee. The smell is wonderful and the candle last a long time. The price was a lot cheaper than at the Yankees store.
5,2018-12-10,This candle smells delightful.  The cinnamon scent is very pleasant. It's not too strong and the candle Burns for a long time. I burn it in my bedroom during the day and when I walk in the room it smells great!  This cinnamon is very warming and reminds me of home  During Christmas when I was growing up.
5,2022-02-15,"The smell is amazing. It smells like someone is baking a delectable dessert. While I’m a good cook, baking is not a talent I possess so this is a good substitute. The candle lasts forever, I’ve been burning it nearly every night for a couple weeks now."
5,2021-12-31,"One of our all time favorite Yankee scents. Warm cozy Vanilla scent with good throw.I highly recommend this candle as well as the use of a Yankee Candle Illuma ring lid with these candles it helps them burn so much cleaner and using every drop let's you enjoy it that much longer! The Illuma lids are both pretty and functional, and can be purchased very reasonably during Yankees clearance sales. Enjoy!"
5,2021-04-07,"This is what i think a house should smell like during the holidays. Its a very light, comforting smell. I use it when i have people over and its the 1st thing the mention coming in the door- smells like home. Its hard to decide the smell beyond that. Makes me think of spice cake and cinnamon, apple pie, and xmas. Hands down my fav scent from Yankee."
5,2021-09-17,"Well, I gots a stink problem in me home. I farts a lot, and they doesn’t smell good. But this here candle by Yankee smells good! In fact smells so good that you wants to eat it! It turns me stinky fart house into a lovely smelling vanilla bakery! I ain’t kidding neither! So I gots to recommend this here candle as must have! I’m ah hoping this company comes out with a fried pie scent, for me that’s the best scent you could have."
5,2016-01-07,"We frequently have a Yankee Candle lit in the kitchen and this Apple Pumpkin candle is my favorite winter scent. It has a nice warm spicy and rich scent that makes the kitchen smell like something really good just came out of the oven.The candle burns cleanly and evenly when I use an 
  
Illuma-Lid Jar Topper







  
  
     and trim the wick to 1/8” after every burning. The Illuma-Lid is more than decorative – it helps keep heat inside the jar and prevents “tunneling” where the wick burns down through the center of the candle.Yankee Candles are a bargain. I used to buy inexpensive jar candles of uneven quality that didn’t last very long and frequently lost their scents.  In comparison, Yankee Candles always keep their scent, burn evenly, and last a very long time. They may cost a little more, but turn out to be much more economical in the long run."
5,2021-10-04,"The product is fantastic! The problem is Bezos taking his cut which don't leave much meat on the bone for the seller, and I think that's BULLSHlT!! I sincerely hope, from the bottom of my heart that Jeff and the Sanchez live forever! Again, fantastic product! Great seller! Thank you very much."
5,2022-06-17,This great smelling candle was one of my best purchases ever. It does make your whole living room smell great. It last longer then any other candle so far. I love the price.
5,2021-02-14,"I've been a big fan of Yankee Candles for many years. Vanilla cupcake is one of my favorite scents. If I baked, this is what my house would smell like. It definitely fills the room with a yummy vanilla aroma.Several years ago, I learned from a Yankee Candle store employee that the multi wick candles give off a stronger aroma than the single wick candles, so this is the only style of candle I'll buy.It arrived well packaged to guard against damage."
5,2022-07-20,This candle was a great buy.  I have been a Yankee Candle devotee since I got my first candle from a boyfriend!  What a great present!  I presented this candle to myself and my Mother.  We love it when the room smells great!  Any one who comes visiting remarks about the fragrance!  Thank you for offering this item!
5,2021-12-28,One of my candles were defective.  It was melted and the top seal was cracked.  I have never had this issue before and I have bought numerous Yankee candles from Amazon.  The other candle I bought with the same order was fine.
1,2020-02-15,"Wow, was I ever disappointed in this Yankee candle.  I use to buy these all the time and the scent was delightful and lasted throughout the entire burning of the candle.  This candle had NO scent at the beginning.  It wasn't until the last inch of the candle that any scent was noticeable and even then it was very faint.  I bought two different fragrances in this purchase and both acted the same.  Won't be spending the money on Yankee anymore.  Plenty of other candles out there that are way superior to Yankee these days.  Sorry.  Do not recommend Yankee candles."
5,2021-01-11,"This apple-cinnamon scent actually permeates a large room, which I've found a little unusual for this brand.  This scent is crisp, reminiscent of fall and Thanksgiving.  Like all their large jar candles, it burns a for a long time.The wick creates a lot of smoke, though, and their prices have skyrocketed.  Fancy jars and colors don't make a good candle.  Good scent, longevity, and quality wicks do.  Not to mention, these include paraffin."
5,2020-09-22,"I live in a 3-floor townhouse and within 5 minutes of this candle being lit, the house is filled with smell from this candle. Although it is salted caramel, I actually think it smells closer to maple syrup. My guests think I have been cooking pancakes all day (which nobody has ever complained about). In addition, the longevity of the candle is fantastic. I have had it lit for over 10 hours and it is not even 1/4th of the way burned out. Excited to continue lighting this all Fall!"
5,2020-02-03,"Lasted us about 2 weeks. We had it in the living area of our home, which was a big space to cover (kitchen/dining/family room all in one open area). Scent was noticed and helped give a nice warm vibe. It didn't fill the whole house with the nice sweet scent, but the large common area was smelling tasty! We are new to candles, so we are not sure if 2 weeks is average lasting time for this size of candle, but we did burn it daily and for a majority of the day. Either way we loved it enough to buy another one (different scent, same size, same brand)!"
5,2020-11-11,"I know, I know. Yankee Candles have a high price tag. But you get what you pay for, and I have to say, this candle makes my house smell like the baking gods have smiled upon me. I've been lighting it every night for hours, and it's not even half gone after a month.Being trapped in my house through this pandemic is tough, but getting to smell this candle makes it slightly better. Yankee Candle, if you're reading this, feel free to send me more."
5,2020-12-14,"The only brand I buy or gift. I burn it all the time.  Care and Longevity Hint: For the first burning only use for an hour.  After that snip the top of wick before lighting everytime. This will help keep the candle burning evenly. If it has two wicks as this candle does, make sure when you snip that the wicks are the same size. They always melt evenly with no wax build up on sides and no crater where the wicks are located. Love these Candles!"
5,2017-10-22,"Smells amazing! There's just something about this particular candle that just makes you want to light it up, and curl up on the couch with a warm cup of cocoa or tea! It really is great! Despite all the other customers having issues with cracked glass or a melted candle, I had no issues with mine. The packaging was perfect--a lot of packing air bags were included so that it wouldnt break! I also think the fact that some people received melted candles were probably because they ordered them during periods in which the weather might have been a lot hotter--so i definitely recommend buying these candles from Amazon when the weather has cooled down a bit."
5,2021-03-23,"Apple Pumpkin is my very favorite harvest time scent for October and November. All the scents of the season in this one, great throw without being overpowering. The candle is a beautiful color that blends perfectly with my fall decor. Yankee Candle did a great job on Apple Pumpkin!"
5,2020-12-05,"Yankee Candles are the best I have found, except for Illuminations, but I don’t think they’re in business any more. Kitchen Spice is the perfect scent for the holidays. But... Amazon said this candle wouldn’t be available until January, so I left it in my cart and ordered one from Yankee Candle - at almost twice the price. Still waiting for that one to arrive."
5,2020-12-09,"I like the candle, but my last one has lasted many years. I am using this one the same amount, and I don't expect it will last more than 2 years.I bought another candle this year because I do like the scent, but UPS delivered it, unfortunately. They claimed they left the package ""at the gate."" I do not have a gate. They dropped it in the dirt at the bottom of my driveway where I almost ran over it with my car. Unacceptable!"
5,2019-06-28,"The Yankee Candle Lg. Jar VANILLA CUPCAKE is my favorite scent. Every time you walk into the room you smell a true Vanilla scent. I promise you'll love this one!Trim the wick before lighting & it'll last right to the bottom of the jar. Lasts with nightly burning in our living room for weeks too.Look at my pic & you'll see how it glows in a dim room. It's comfy scent, if you know what I mean! Great gift to give too!UPDATE- This is the 3rd Vanilla Cupcake scent we've bought thru Amazon & ALL have been top quality. It's burned every day, just trim wick before lighting up."
5,2020-04-07,"Nice candle, but I was just looking for a different kind of vanilla scent. I think I was looking for the Christmas Cookie candle but bought this one instead. Says cupcake, but this one is more of a cheap store bought cupcake lol. It doesn’t necessarily smell bad, it just isn’t the kind of vanilla I like. PROS — burns for a long time without giving you a headache after awhile like some candles do. Pretty big and only has one wick, so it’ll definitely last a while. Better suited for bigger open areas like a living room or dining room because the fragrance could be a bit too strong for a small space like a bedroom or bathroom. CON — none really. Just wasn’t the scent for me. Wouldn’t be fair to give a bad review for my own purchase mistake."
5,2022-08-10,"I am in love with this candle. It’s super earthy and calming. I’ve been through 3 of them so far and will most likely be getting another eventually. The scent really permeates unlike some of the other Yankee Candle scents. The only downside for this candle would be the price, but you can almost always hunt down a sale."
5,2021-04-02,"Wrapped the way it should have been but something ripped in transit, it looks like, no fault of the seller. I also love the fragrance. But the very best was this candle was a decent price for Yankee Candle. Most are getting out of hand.. I went to cheaper candles lately and saw this and grabbed it right away. Thank you for the quick delivery also. I am pleased and would recommend."
5,2022-06-02,"I bought the Home Sweet Home.Candle burnt perfectly. The scent did scent ,but really weak for this candle.However,the half inch in the bottom of the burnt candle is SUPER scented.I'll use it in a wax melter and it will do well.Its as if the scent went to the bottom.  Strange."
5,2022-01-08,"I have bought this exact candle at Yankee Candle store and it smelled great. Buying this on Amazon, the best way I can describe the smell is paint thinner. I decided to go to Yankee to make sure my scenes weren't off and it smelled like it should have. Never buying candles unless its from the store."
5,2020-11-05,"I went to a friends house and while I was there I said ""what are you baking?"" and she's like ""absolutely nothing!"" I asked why her house smelt like chocolate and she showed me this candle. Not even joking it smell's exactly fresh baked brownies/chocolate cake! I immediately found the candle on amazon and bought one for myself and for my mother. Just as a warning, the smell is so fantastic you'll seriously want to bake something chocolate. :)"
5,2022-01-12,"I've had other flavor candles that hardly produce a scent. This one.... WOW! A few minutes after lighting it, you can already notice the sweet scent of Chocolate Cake! Amazingly, hours after turning it off, you can still notice the scent! Big Bang for the buck! No disappointments here!"
5,2022-08-19,I bought this candle for my mother-in-law as a gift because she's basically my second mother. She loved this scent so much and I saw it on here and had to buy it. I honestly love the smell as well. I suggest buying this candle bc the scent is so beautiful and can make your entire room smell beautiful while it's lit.
5,2020-05-26,"Salted Caramel is my go to scent in fall, winter and even early spring. This scent is not a flora, nothing against floral,  but has warm, yummy, deep caramel/coffee scent but not too sweet.  Large candle has long burn time and scent fills the foyer, kitchen and great room without being over powering.Please don't stop making this scent, it's a winner. I also purchased the SC melts, can't get enough of this scent. Will go beachy/floral in summer."
5,2021-01-10,"We purchase scented candles to make our home feel more cozy.  At this time, we aren’t sharing many indoor spaces with others, so feeling comfortable is most important.  The candle scents will vary during the year.  This one reflects baking on a cold winter day and anticipated enjoyment of time with our friends and family so come."
5,2021-07-22,It makes my house smell like I've been baking all day! The candle has a good burn time
5,2021-04-10,"I'm on a diet and I love chocolate.  This makes me happy (without the calories) and makes me smile each time I light it.  Though it smells just like warm chocolate, it doesn't make me crave chocolate so that's kind of perfect. I light my candle before I settle in to read in the evening and it smells so good the whole time it's lit.  I'm very happy!"
5,2019-07-15,"I used to think Yankee Candles were for my mom's generation. There's such a huge following of Yankee products and I am definitely not in their general buying demographic. That being said, I have bought boutique candles from multiple places and I have yet to find a candle that rivals any scent, longevity and price of Yankee Candles. These candles last me weeks and I light candles on daily basis since I work from home. Buyers tip- Try to find these at 15 to 20 bucks on amazon! I never have bought them from more."
5,2022-02-21,This scent is my new favorite. It smells like an expresso with vanilla and nutmeg added! I have bought one for my living room and bedroom. The scent just makes my home me welcome. Guests that have come to my home remark on how much they like the scent!!
5,2016-12-25,"I searched all over the web for a chocolate candle for my husband that was made by a popular brand that I bought him years ago. Come to find out, it was discontinued so I decided to give this one a try. I am so happy I did because he likes this scent even better! You can't go wrong with yankee candles!"
5,2021-12-18,I have been looking for a nice fall scent and this was perfect. I burn a lot of candles. I am very pleased with yankee candles. They have gone up in price that was a bit of a surprise. But I guess like everything else. You can’t go wrong with this brand of candle.
5,2019-11-21,"This candle is very strong, but I love it. The smell can linger in the room for a couple days after burning. I can always depend on this scent. It tends to last a little while and I leave it burning for hours. *The one I purchased here did come covered in wax residue and was separating from the glass. I ran it under hot water and scrubbed it off with a sink sponge. Not that big of a deal, but thought to be noted."
5,2020-02-05,"At first I thought that the smell wasn't long-lasting, but my the first thing my husband said when he got home yesterday was ""It smells really good in here, it smells like donuts"". Then I showed him the candle and he said that the smell was coming from it. The best thing is that the candle was in a different room when he first smelled it. So, it smells amazing, it really lingers, and I got a very fast shipping. Thanks Amazon and Yankee Candle!"
5,2022-04-01,"Scent is amazing, yet not overpowering"
5,2016-01-24,"This is a great scent at a great price. The Cinnamon Vanilla scent is much stronger and fills more square footage, but this scent is very nice. It smells like mulling spice (spices and orange essence) with a subtle pumpkin undertone. If you like the smell of pumpkin but do not like to be overwhelmed by it or get hungry from simply smelling a candle, then this is the candle for you! Honestly, you cannot beat the price for this large of a candle. I will order this again as long as the price stays the same. If the price gets higher, I will switch back to Cinnamon Vanilla."
5,2022-03-09,"I actually bought this as a gift for my younger sister and she loves it. She kept telling me how sweet and relaxing the scent was. I personally love Vanilla scent but this Vanilla Crème Brulee is my favorite Vanilla scent. I recommend this to anyone looking for a sweet but not overpowering, relaxing and enticing scent."
5,2020-09-11,"I was disappointed when it came and was smashed, but contacted seller and they are replacing immediately.  I bought my daughter one and hers was fine. Several are writing about the lack of fragrance, but mine is great and strong and I can smell throughout my house."
5,2014-09-30,"Just had this delivered, & could not wait to light it. I LOVE Yankee Candles! I always order the three same ones. Home Sweet Home for use all year. Harvest for fall, & Mistletoe for Christmas.  I have tried many brands of candles, & will not burn anything or buy anything but Yankee Candles. I LOVE that I can light the 22-Ounce jar, & it is enough to make our entire house smell wonderful, I also like that it helps to add to the charm of the holidays. I am very happy with this seller, & will order from them again. I think if you order Yankee Candle you will be hooked as well. They are a bit pricey compares to other brands, but well worth the money."
5,2018-02-13,I purchase about 5 of these per week for both of my houses. This scent is my favourite and it comes in an authentic yankee candle box. These large jars last me about 7 days and I leave them burning 24/7. Love them and this is a great discount. I save almost $100 a week buying from amazon va the yankee store.
5,2019-11-11,This is perfect for the holiday season!
