Rating,Date,Review
5,2020-04-14,"This brand has been around for so long. I remember it being THE candle to get years ago at the peak of its popularity, and honestly many products have come and gone and this one is holding up to its high reputation. It continues to be timeless.  The scent of Midnight Jasmine is perfect for those who just enjoy a light scent without being overwhelmed by strong smell. The candle itself lasts longer than any fancy candle I've ever bought. I love that you can remove the label so easily, since I normally like candles to just look simple/clean for decor reasons. Definitely worth it. If this review helped you in any way please make sure to click on helpful so I know. Feel free to ask any questions!"
5,2021-12-28,"I love my yankee candle. I have sinus problems so finding a candle I can smell is difficult. I lift the lids in the stores & if I can’t smell it I won’t buy it. Yankee candles have always had a great scent. I had a woman come over once when I had the lid off the jar as she came up my stairs she said “Thank Heaven , Scented candles” The previous place she went smelled like cats and dogs. I knew that person and she always has a very clean house. I had a cat myself but she couldn’t smell any cat smells. I keep a clean litter box because I cannot live with the smell. It gets cleaned after every use and taken outside to the trash . The other lady taught me that so I know her litter was clean. The candles make a huge difference."
5,2022-01-04,"From the description, I thought pink sands would be very sea breeze and beachy, but my first thought when smelling it was cotton candy perfume. My boyfriend says it smells like sweet bubblegum. BUT, please don't take that the wrong way because both of us think it smells delicious. I don't love overly sweet scents and this doesn't smell like straight up candy, rather a balanced fragrance of nostalgia, clean air, and--well--candy. I will buy again, but this candle will last a long time!"
5,2021-10-03,"As stated, the wife got me hooked on fragrant candles.  Lived half of my life without an opinion either way, don't know how I ever managed.Must admit, this Lilac Blossom scent is simply excellent.  A definite favorite of ours.Yankee Candle (JAR TYPE) are a favorite of ours.  Price is right too.We like aromatic candles that last.  Some are very expensive and yet, I have to put my beak practically into the flame in order to recognize a hint of an aroma.  Big League Taboo for this 52 yr old kids beak, as I blister easily not to mention the discolored tip which is generally black or in a shade thereof.Not to mention it simply does nothing for my looks.But not with these Large Jar Yankee Candles with so much aroma. My beak is safe at last.Thank you Yankee Candle.  My beak thanks you too.  ;)"
5,2019-12-12,"I rarely purchase floral sceanted candles.  Actually, gardenia is the only floral scent I buy & only from Yankee Candle.  I live in Rhode Island & like to burn this on a warm summer evening when the air is still & the windows are open.  You know the nights when there’s no breeze & nothing is really moving; but I don’t need the a/c on.  I light 2 of these on my first floor which is open concept.  They give off the most beautiful, warm, soft gardenia scent.  It’s not heavy or cloying.  It doesn’t choke you.  It’s not super sweet.  You’d think it would be when you smell the candle.  But when you actually light it, it’s just so smooth & pretty.  I’ve had an incredibly hard time finding this scent over the last few years.  I just happened across it on Amazon this summer for a great price & ordered a couple.  I thought they must be seconds or have something wrong w/ them; but, they were in perfect condition.  I couldn’t be happier.  😀 Amazon comes through again.  If you’ve never tried gardenia, I highly recommend giving it a shot."
4,2020-09-29,"I have bought and used several of these candles in different fragrances, including: Lilac blossoms, Midnight Jasmine, Midsummer’s Night, Pink Sands, and Silver Birch.I have four dogs and one enormous great room, which includes the kitchen, dining area, entry way, living area, and the dogs’ niche where their beds are. So I am always battling the smell to keep the house smelling nice.Overall, I would give this brand of candles 5 stars. Four out of the five fragrances I’ve tried were pleasant smelling, had a strong odor that would fill the large room, and a long life. They were packaged very well (inside their own box) and burn evenly.Here are my ratings for the scents:Lilac: Five stars. Very strong smell. Sweet and flowery. I love lilac but it was a bit much for my taste for the main part of the house.Jasmine: Five Stars (more if I could!). Wonderful scent. Flowery but not over powering. Mellow. Lots of compliments on this one and asking where I got it, etc. Can be hard to find, too. Recommended.Midsummer’s Night. Five Stars. Pleasant, “soapy” smell. Reminds me of what the bathroom smells like after a shower. I loved this scent, but it is nicer for a bathroom than a main room IMO. Recommended.Pink Sands. Two Stars. Very “pink” smelling. Reminded me of bubblegum. Scent was very weak. Could barely smell it at all. Wish I had returned it. Not recommended.Silver Birch. Five Stars. Very “woodsy.” Makes me think of fall/winter. Very pleasant smell for a main room. Recommended.I definitely recommend these candles overall, especially the four scenes above. The Pink Sands candle was such a dud I had to take off a star, but really these are good candles and worth the price."
5,2021-04-17,"This vwill FOREVER be my favorite YANKEE candle scent. It smells as if u are in your favorite place, even if you can't actually get there. I don't understand how people say it has no scent...or it has too much scent...or it smells too much like flowers.and my personal favorite so far.,""IT SMELLS LIKE SAND""....WTH REALLY?¿?¿? ANYWAY..... I will always be purchasing more than one at a time.  I do wish I could find the COTTON CANDY SCENT. I was only lucky enough to find ONE COTTON CANDY CANDLE..ONE TIME.  You should definitely try PINK SANDS!!!!"
5,2018-02-21,"I went out on a whim in getting this one. I had never smelled it, or even seen it in stores (I discovered upon looking into it that this is a new scent), and I thought why not? I am SO glad I went with my gut and just got it. The mix of the smells is just amazing. The apricot scent prevails over the rose for sure, which honestly surprised me! I feel like apricot is a hard smell to capture in a candle. The rose smell is also noticeable, but not over powering. It reminds me of the smell of Rosa  Double Delight roses (for those rose gurus out there) Which (for those of you who aren't gurus) is a sweet floral scent, with fruit like tones.This scent makes me feel super happy while its burning, and in my opinion is great for any time of day! I would use it in spring and summer, but not so much fall and winter if you live in a colder climate. Being currently in the desert that is Arizona, I would likely burn it any time of year."
5,2022-02-05,"The delivery was delayed a few days.  But that's to be expected from the 17"" of snow we've received in the last couple days. 👍. The packaging was exceptional. 👍. The candles were smooth at top with 2 wicks. (As expected with paraffin wax)  I've had this Yankee Candle scent before (PINK SANDS) and it makes your house smell AWESOME !!  👍. And the throw is GREAT !!  This scent is on everyone's top 20.  Definitely a top 10 for me.  I'm sure you'll love the fresh beach smell.  Buy it today you deserve the smile....😊😊😁😁  I give this Yankee Candle a FIVE (5) STAR REVIEW⭐⭐⭐⭐⭐"
5,2020-05-22,"AMAZING! I got this for my mom as a mothers day gift. She went on to tell me that when she went to the yankee candle factory last year in MA (we live in PA, yes candles are that big of a deal lol) where she dropped 500$. She told me about all the different candles she got, many which I am familiar with. I've smelled alot of nice candles in my life, but this candle is so nice. The scent is light but not in a way that you can't smell it. Light as in not in your face or very strong smelling. It really does smell like fresh cut roses. I told her this candle would last way longer than real roses and she loved it. I like it so much im ordering one for myself."
5,2016-01-22,"One of three floral scents (Rose and White Gardenia being two other favorites) I burn in my master bedroom, the combination is like being in a garden. In addition, because my bedroom is not enormous, the two each of the three scents, for a total of six large jar candles, gives off a genuine warmth, truly welcome on cold evenings. And of course the light from these candles, plus dim bedside lighting, gives a truly magical glow.I find the Yankee candles to be an unparalleled value for the length of burn time and the quality of the scent. There is no waxy smell, just pure romantic flowers. The floral scents, which I mostly favor, with the exception of the luscious black Midsummer Night's Dream, are true floral scents, almost as heady as the real blossoms themselves.When given the option, if you can afford it, always go for the large jars. By comparison, it is the best  value, giving a couple hundred plus hours of burn time. The only maintenance is trimming the wick after each burn and occasionally wiping off  the black soot from the top inch or so of the inside of the jar rim.Go for it ... the ambience is wonderful."
5,2022-03-30,"Though I no longer have night blooming jasmine outside my front door to welcome me home at night, this scent reminds me of many happy evenings. My old house had some right by the front door, & after coming home from a wonderful meal with my hubby, it was always so romantic & welcoming! Now, when I light this candle in the evenings it brings mew to my happy place (particularly great after ones of ""those"" days). If real night blooming jasmine always brings a smile to u...this candle will, too!!!"
5,2018-10-27,"Love Yankee candles so bought this one based on reviews. Needed some scented candles for a house being sold (recently renovated and strong paint smells, not very homely) for prior to public inspections. Tried a variety of scented candles but this one was the best by far! Such a delicious scent I don’t want to ‘waste’ it on open houses, I want it for myself! So I’m back to buy more. It’s a sweet scent, but also floral. It carried right through the top floor of the house (three bedrooms, 2 bathrooms and a hallway). It’s a delicate apricot scent with a stronger scent of a rich summer rose. I also bought a Gardenia Yankee Candle and that has a much more delicate and floral scent (still with that heady richness of gardenia, but subtler than this one). If you don’t like sweet scents this may not be ideal for you, but if you want a powerful candle with a great throw, this one will be a great choice. Came well packaged, arrived quickly and smells great straight out of the box. Burns well, although a little lack smoke from the flame. Worth it for the scent."
5,2021-12-28,"I have this candle on scheduled regular delivery.  The last batch had very minimal fragrance.  No, it has nothing to do with sense of smell being affected by covid.  I bought a different brand scented candle from the store in place of this purchase. It's scented and the aroma was just perfect.  I can smell it and it emitted a wonderful scent. I had several people try smelling the Yankee candle.  Each and everyone said there was hardly any aroma.  Please stop making excuses.  Someone.dropped the ball and covid was just an easy excuse."
5,2022-06-26,"Once again Yankee Candle, you're the best! My son bought this for me on Mother's Day, and since then, I've lit it every day and it makes the whole house smell great! I only have about 1/4 of the candle left, and it smells just as good now as it did when I first opened it. YC may be a little more pricey than other candles, but the quality is top notch. Couldn't buy a better candle. Now - let's talk about the JARS. It would be nice for YC to come up with different container shapes and sizes. The jar isn't the most attractive candle holder! I'd like to see them come up with ceramic or stone holders, in colors like grey and khaki and rose. Maybe they will!"
5,2020-07-20,"This has the reminiscent smell of previously bought Yankee candles. It filled the entire first floor of my home, 1200 ft.² with scent. And it smells heavenly. No skimp this time on Scent. It took 20 hours to burn half of it. So, it has lost some on longevity. Let's See how Long it takes to finish them up! Will return! They smelled great, but unfortunately some of the candles that I ordered had short wicks. Not even halfway through the candle the wick just disappeared. It happened in about 50% of the purchases. I believe I bought nine candles. Don't hold me to that but somewhere around that figure. But it was definitely at least half of the purchases were defective. The lilac smelled great, but some of the other sents that I bought were barely odoriferous! (Could barely smell them)"
5,2020-11-24,"When we lost my mom her personal touch was lost, My dad asked me if I knew what candles mom liked. Yankee was always a fave. I sent two of the lilac candles to Dad. He said the house was feeling right again. Thank you for helping my family heal and remember at the same time."
5,2016-01-22,"One of a trio of Yankee candle floral scents I like to burn in my master bedroom. The whole room smells like a garden, almost like the fresh flowers themselves. As an added bonus, the lighting is sublime and because our room is not enormous, the candles add actual warmth, very welcome on colder days, even in Georgia, which gets its fair share of cold days in Winter.The large jars burn a long time and I don't think I have found a brand that's worth what these Yankees are. The price you pay for them is worth it because they smell so wonderful and true to what they are labeled. I have not tried one nature scent yet that did not delight me."
5,2022-03-17,"Maybe that's intentional but it was unexpected.  I keep checking the fragrances listed in the description and don't see any rose scent listed there.  Not that it matters to me.  I'm loving the scent of this candle.  Yankee Candles are my favorite.  The large jars last a long time.  Some don't always burn all the way across - I guess that's called tunneling?  The scent on this one is strong, even when unlit.  The wick burns well.  I do have to keep trimming it to keep the flame from getting too tall.Think I'll go hunting for one with actual rose scent to compare."
5,2018-02-27,"Fantastic price, fantastic shipping, and a fantastic candle. I ordered 2 of these, and both were shipped in a secure, candle-shaped cardboard frame within the box so there were no issues with the glass breaking or cracking during transit. The Pink Sands candle itself has a unique smell that is hard to describe; there are hints of citrus and roses in the middle of a clean, crisp, semisweet airy cloud of awesome. I absolutely love it, and have yet to find another candle quite like it. If you're a fan of crisp scents (e.g., Clean Cotton) but also like soft sweet candles (e.g., Buttercream), you should definitely try this. Highly recommended!"
5,2020-01-11,"There is just no candle company anywhere that makes as good a candle as Yankee. Their scents are amazing, the containers are great sizes, and these candles burn FOREVER! They seem pricey, but truthfully, they aren’t—because they last so much longer than other candies. Watch for third party sales— you can get “used” candles—which are essentially just candles white boxes have been opened and then box and candle was returned for some reason—NOT burned. Those are available sometimes from Amazon and they are a few dollars cheaper. Great gifts, too. My family knows when in doubt, give Mom a Yankee candle."
5,2022-07-19,"I love this particular scent for easing my Anxiety at night, it helps me calm down and get ready to fall asleep.I would recommend putting it out before you go to bed, since it can wear the candles wax down significantly. (The scent will linger in your room even after the flame is out)My recommendation is to never blow the candle out, put the lid back on (so it’s sealed) and let the flame go out on its own.Whenever you blow the candle out it can give off that waxy birthday candle smell which overpowers the original scent and ruins the whole point of it.Other than that it’s a very pleasant candle to keep around just in case."
5,2021-08-03,"I absolutely LOVE the scent from this candle.We have so enjoyed all of the Yankee Candles we've purchased, but this scent truly reminds you of walking along a beach...and when you're in the desert of Coachella Valley, a walk on the beach in 120 degree heat is a very nice thought.This is the second one we've purchased, and love it soooooo much.  Perfect for summer when you're longing to get to the beach."
5,2022-07-19,"We were all over Italy for the month of May and during that time all the jasmine trees were in bloom and absolutely beautiful.  The smell was wonderful, so when I got home to an area that does not have jasmine trees, I ordered this Yankee Candle in the Midnight Jasmiine scent.  OMG !  Every time I light it up, the scent takes me back to a place and time that was so special !This Yankee Candle in this jasmine scent is recommended without reservation."
5,2019-05-28,"You can’t go wrong with Yankee Candles. I bought Bath and Body Works 3-wick candles during their winter sale online but nothing compares to the original makers of long-lasting scented candles. I found this particular scent is actually cheaper on Amazon vs. purchasing in stores. I ordered it at 10:30pm last night and it arrived at 10:30 am the next day. Saves me time, money, and gas! The 3 candles I bought on Bath and Body Works didn’t last long. I could no longer light the wicks even though there’s still a substantial amount of candle wax in the glass container. Plus the scent wears out fast. I do not experience those problems with a Yankee Candle.Tip: Burn the candle for at least 2 hours to get rid of odors. Extend the life of your candle by trimming the burnt part of the wick from time to time."
5,2021-11-21,"My daughter absolutely loves the smell of Yankee Candle Pink Sands! It has a strong throw that I find a little overwhelming in an area like a small bathroom, but it doesn't bother my daughter one bit. The scent incorporates citrus, fruity, floral, woodsy, and musk all in one. My daughter has loved this scent for over 2 years, and still isn't tired of it. I got her another one for Christmas. :)"
5,2021-05-23,"I usually burn Storm Watch in the summer, but Sun & Sand has made itself a new home into my seasonal collections. Smells: Strong notes of the beach, sunscreen lotion, light citrus/musk..Love lighting this one while I play video games on cool summer nights with the window open, definitely makes me feel like I'm at the beach even though I'm far far away lol, brings back summer memories of going to the pool & swimming with family & friends when I was younger too."
5,2022-03-25,It has a very warm cozy smell.  I love turning out the lights and lighting up my Yankee (one of many aromas) along with some other led decor and spring flowers and plants and totally relaxing and thinking. I am never at peace more. It is truly enjoyable for me. It has plenty of throw. Same thing goes for the Dried Lavender and Oak.  Thanks YANKEE!!!  Their service is also GREAT!! Can't beat this. These are the companies we all miss so much
5,2022-04-09,"Did you ever have a scent that reminds you of happy days gone by?  This is the one for me!  Lilac bushes surrounded me throughout my life and this candle brings back feelings of love, peace and all round JOY!  Hope to never run out of this scent!"
5,2021-03-04,"I am a candle and/or wax melt freak and needed something new and 'Spring-ish.""  I like the scent but I am not WOWED like some of the other; but that is me and not the candle.  What I really like about it is I don't have to burn it for very long- (let's say an hour) and the scent stays for a day or longer which is rare.  It is a little strong actually; so I usually have it in a different room to her than the one I am in at the time.  Overall; I like it. WIll I buy this scent again?  Maybe but as I said that's me and not the candle"
5,2022-07-29,Yankee candles are by far a favorite of mine and I buy many different type candles. But…. Nothing equals the smell of yankee. They have an aroma that’s just amazingly delicious! If you pick a flower scent your getting a flower garden in your home. A fruit scent the house is like apple pie. Their long lasting beautiful for gifts and definitely live up to the price that you pay for one.
5,2017-08-05,"Work in a nail salon and I hate it when people say that the place has a strong chemical smells. After all it's hard to keep it all contained there are some thing that leak through. But with this a lot of my customers are always complimenting the smell and some even took a picture so they can buy it later. I've never bought this one before so I did it on a whim since everyone was raving about it. The candle was expensive but worth it, I've bought other candles and they go out within a week!! But this is long lasting especially if they're burned all day like I have them."
5,2020-08-21,"I bought several candles and made the mistake of buying some with just a ""lid "" as opposed to this kind, which is a secure ""tumbler style"" lid, that seals in the scent both before and after you burn the candle.The ones with the ""lid"" that just ""sit on top "" of the candle ""  caused the candles to arrive with absolutelyNO SCENT AT ALL.  So please be careful, and order this style .  I wasted a lot of $ on my Yankee Candles."
5,2022-04-30,"I love this candle! Lilac Blossoms is one of my favorite Yankee Candle scents and when I can afford it I have to buy one. These candles always last forever and I re-use the jars for other things so it's a win-win for me. This was an especially great buy because of the low price! Yankee Candles are twice that price unless you catch a sale, and with my Prime I got it shipped for free, sealed in it's actual unopened box, the scent as strong as it's supposed to be. I'm extremely happy with my purchase!"
5,2020-11-07,"I was skeptical after reading some of the reviews about the Yankee Candles not being authentic on Amazon, but figured I would try it since it was on sale. I liked this particular scent (Pink Sands). It did take a long time to burn, which is something I appreciate since candles are so expensive. If you like the scent and prefer something more mild in terms of potency, I would recommend."
5,2022-06-20,"Have you ever been to a fancy smancy hotel or spa and said: ""WOW, this smell fancy"", that's what this white gardenia fragrance is.Most fancy hotels use gardenia essence sprayed on the lobby walls to make a statement when people walk in.Put this candle near the entrance of your house and people will complement you."
5,2022-08-18,"The media could not be loaded.
                
            
                
            
        
    
    
 Well packaged so this lovely scented candle arrived undamaged and ready to enjoy!  I was worried it might get broken in transit but nope!  Very pleased, would definitely buy again might try some other scents as well. Scent is nicely balanced, not over bearing or too perfumery.  Natural clean scent."
5,2021-12-28,"This is one of my FAVORITE scents that Yankee Candle has during Fall/Halloween time. This year I had to buy it from Amazon, because Yankee didn’t release it for Halloween. I was told they just weren’t going to this year. Well they must have gotten the hint that people weren’t happy, cause they did a month later and on sale. But I had gotten mine from here so…but I’m still very happy I get them!"
5,2012-01-29,"If you like the scent of gardenias, this candle will scent your entire room.  My mother loves the smell of gardenias and when she moved to Palm Desert, California had gardenia plants planted in the garden beds under her bedroom window.  In the spring and fall she has 200 gardenia blooms typically scenting the air, but what about the rest of the year?To give her year-round gardenia scent, I bought her this for her birthday (January 24) and she just called and says she's sitting in her bedroom, reading a book with dog in lap, with this gardenia scented candle lit--the fragrance is suffusing the whole room. She says it's a light, soft fragrant scent, not heavy and overpowering.  She has thanked me several times for this gift--seems to have the candle lit at all times of the day and night.  It offers 100-150 hours of fragrance.  I'm going to buy one for myself for Valentines Day in lilac--she's convinced me.  A great gift for someone or for yourself--buy one in YOUR fragrant scent."
5,2020-08-01,Strong scents give me migraines so I usually don’t burn candles or use essential oils in my home. I bought small jars of these rose scented candles for my son’s preschool teachers for Valentine’s Day last year and thought they smelled really nice. So I got this one for myself to try. It smells amazing and isn’t too strong and over powering (no headaches at all) but you can still smell it too. I had it burning during a family birthday party recently and several people asked what it was cause they really liked it.
5,2022-08-12,"Growing up we had a midnight jasmine plant by the front door. My father took care of this magnificent plant and when we started dating, the lucky young men were instantly impressed by how sweet our home smelled and it was a good firsthand warning  of how precious his daughters were. ☺️"
5,2021-05-10,"As of my review, the large tumbler was $16 from Amazon, about 1/2 the price Yankee candle charges via website or store. Amazing value for the price, I got several for myself and mother's day gifts. My only issue is the smell isn't as strong as some other candles from Yankee, but it is very pleasant. They may be older stock since the labels have since changed, but they arrived in Yankee candle boxes and are beautiful."
5,2022-05-17,"I really like this scent. I don’t like strong overpowering scents and this one is not. It’s a  clean, nice scent. Perfect for any room or for giving as a gift."
5,2019-12-05,"Yankee Candles Large Jar Candles for Only $12.99 is unheard of usually unless you buy several, they have flaws or the scents are discontinued.I was surprised to find my favorite scent at this price, so I had to buy one.  The wax is perfectly flat on top without any missing areas along the sides the jar and the wick is perfectly placed in the center. It’s perfect!!"
5,2022-07-07,"The house smells so good, just like lilacs! This would be an awesome gift but I buy the candles for me! They remind me of me of the lilac bushes growing around my grandmother's house, when I was a child. Will definitely purchase again this summer, the scent is so soothing."
5,2015-09-02,"This was giving as a gift to my dear,  super busy sister in law--who juggles running her own Doctor's practice (on cal 24/7-no matter what) and raising 2 beautiful, and super talented teens that preform all over the U.S. with their various dance troops.  Yankee candles is the one thing I have found that makes her able to slow down a second and get to be ""in the moment"" for a second or two.  She has them all over their home, and the 1st thing she does when she gets home from her grueling day--she lights quite a few of her candles---(I am sure they all around her large bath-tub)  I noticed her mom came by and lit one that was not yet burning----the one I had just given her daughter.  I know what to always buy her any occasion. Unless a person just does not care for candles--you can not!! go wrong in giving these (and this exact brand!!!) for much appreciated gifts.  Thank you Amazon for making them available :o"
5,2022-04-28,I am a fan of Yankee candles. They last longer than normal candles and the smell is wonderful. I have only ever had one bad experience and that was because I think it was left on a truck too long during the summer. The smell of this candle is not overpowering at all but fills a room nicely.
5,2022-05-06,Definitely a favorite Candle.  The first one arrived with the jar completely Shattered.  The replacement was perfect.  Will be reordering soon.
5,2020-05-15,"My concern when purchasing stuff like this through Amazon is always authenticity. This was one of my fave Yankee Candle scents so I can confirm it is authentic. It's so lovely. Obviously scent is personal to everyone so that's all I can confirm :) Package arrived intact, safe and sound."
5,2021-01-13,Purchased the Midnight Jasmine. I fell in love with the smell at the Yankee Store as it reminded of me of the streets in Syria covered in Jasmine flowers. Will be gifting this to all my friends and family who want to a reminder of the smells back home. This lasts such a long time and I will continue to purchase it.
5,2020-09-15,"I purchased this candle.  The first time it showed up broken and melted and it has been really hot.  The company promptly sent me another candle.  Upon receiving the 2nd candle it was also broken and melted due to the heat!  So the company had me return the second candle and I did.  Then I got most of my money back.  Not the companies fault, I would buy from them again just not in the HEAT of the summer for a candle that melts.  The packaging was also good on the product."
5,2022-01-13,"Pink Sands has always been my favorite scent of Yankee candles, it’s so convenient to be able to order my favorite candle ~ my signature scent and have it delivered every two months or however frequent you want to receive it! Very happy with my purchase! One more thing… It was packaged impeccably!!"
5,2018-01-31,The throw on this candle is amazing! Whenever I search through reviews I'm always wondering about the throw on the candle. I want my candles very strong scented and to have an amazing throw. I want my whole house scented. This candle is the one. My husband even loves it.
5,2022-08-16,"Fans of springtime lilacs can enjoy the fragrance, year round.  The double wicks provide double the fun.  The classy cylinder jar is almost filled to the brim with gorgeously colored purple wax.  Enjoy the hours of ""fake"" flowers."
5,2020-04-18,I am so glad I found the candles on here this is one of my favorite scents from Yankee candle.  I ended up ordering 2 just because they were prices so well and they smell so good in my house.  So far after using them a couple of times they look as though they have never been used.
5,2021-07-03,"I'm kidding. Kind of. Jasmin is probably my favorite scent ever, I was really excited to find this Yankee Candle super discounted on Prime Day. It smells amazing and has become my go-to at the end of a long day."
5,2022-05-20,"This candle smells amazing! It arrived today, very well packaged and intact. I love the way it smelled even before lighting it. Now my entire apartment smells wonderful. Like an outdoor summer garden, warm breezes and sunshine! Love it! 🎉🥰💐"
5,2021-03-31,"I LOVEEE pink sands, it smells unlike any scent I've ever found.... it's slightly fruity, sort of smells like a pie, but has a warm, sort of sandalwood scent... I always treat myself to this candle every year, there's nothing like it! Also, the color of the candle itself is a super cute, pale pink. Great as a gift as well, everyone I know has loved it!"
5,2021-03-12,This smell is amazing ..got this for my brother's wife.  She told me it was ok and she could find someone to give it to.. last present she ever gets from me lol . Yes this is giftable to people that appreciate receiving gifts.  Definitely learned my lesson about being nice and spending money on people I don't really like.  Merry Christmas Biatch haha
5,2020-04-02,"This candle has the best scent. It reminds me a lot of White Shoulders perfume by Elizabeth Arden, which is my favorite perfume. It completely fills a room with its soft sweet floral aroma. It burns for a long time, and easily competes with other more expensive candles on the market. I'm glad I bought this and will definitely repurchase."
5,2021-12-23,This candle is outstanding and will make the perfect gift for anyone who loves candles. The sent is strong and last long after its put out.
5,2021-12-29,"Beach walk is my favorite scent in the Yankee Candle lineup. It has a bright scent profile with floral undertones that you can’t quite put your finger on. It is aptly named, too - the scent makes me think of a cozy beachfront house with the windows open on a cool day."
5,2022-05-23,"I ordered two candles and they came promptly, well packed and in good condition.  I was very pleased.  I have not burned the candle yet, but this candle is beautiful and a lovely spring color!  Thank you for offering this scent."
5,2022-06-23,This is a great flower candle that is great and for sure a must have on sale
5,2022-02-01,"This candle is everything. I’ve had so many people come to my house and say, “wow your house smells so nice”…. Yep, that’s the candle. I burn it all day long! Only recommendation is to get a wick cutter that is long. I don’t have that and wish I did."
5,2022-07-01,I stopped burning candles as it leaves soot on everything. The scents are great but if you don’t burn the candle the scent do doesn’t last.
